movie_id,primary_title,genres,runtime_minutes,averagerating
tt0918553,Periphery,Drama,,7.5
tt0918575,Victim,"Horror,Thriller",90.0,6.0
tt0918940,The Legend of Tarzan,"Action,Adventure,Drama",110.0,6.3
tt0920459,The Happy Housewife,"Comedy,Drama,Romance",100.0,6.7
tt0923653,The Dead Undead,"Action,Horror,Sci-Fi",89.0,3.0
tt0923954,Truth About Kerry,"Drama,Mystery,Thriller",84.0,5.5
tt0924266,Pizza with Bullets,Comedy,99.0,8.3
tt0926084,Harry Potter and the Deathly Hallows: Part 1,"Adventure,Fantasy,Mystery",146.0,7.7
tt0926132,Road to Red,"Action,Adventure,Horror",120.0,6.7
tt0926170,White Men Can't Dance,"Drama,Family",105.0,4.3
tt0929618,The Penthouse,Comedy,89.0,3.7
tt0929742,Deep Gold 3D,Action,86.0,3.3
tt0932667,The Man in the Silo,Drama,55.0,5.6
tt0933876,June 9,"Horror,Mystery,Thriller",95.0,4.6
